# Accelerometer Data File
# Started @Mon Apr 26 10:22:20 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
2.983 7.062 5.99 0
3.169 7.082 5.722 9
3.174 7.079 5.602 11
3.179 7.077 5.482 9
3.071 7.098 5.671 10
3.04 7.07 5.793 21
3.143 6.976 5.729 20
3.246 6.883 5.664 9
3.332 6.868 5.552 11
3.342 6.904 5.506 9
3.263 6.907 5.647 11
3.208 6.909 5.853 9
3.215 6.902 5.992 10
3.268 6.897 6.184 11
3.337 6.9 6.301 9
3.406 6.926 6.356 10
3.488 6.962 6.335 11
3.524 6.995 6.26 9
3.524 7.012 6.074 10
3.438 6.993 5.887 11
3.339 6.964 5.777 9
3.157 6.902 5.753 11
3.011 6.856 5.841 9
2.964 6.83 5.849 10
2.932 6.801 5.449 10
2.985 6.806 4.963 10
2.715 6.794 4.165 11
2.408 6.775 3.447 10
1.055 6.318 3.292 9
-0.804 5.08 4.137 10
-2.341 3.859 5.293 10
-3.873 3.062 6.574 11
-3.835 4.436 6.914 9
-3.289 6.591 6.253 11
-2.147 9.009 5.858 9
-1.01 11.003 5.339 10
-0.04 10.429 5.6 10
1.539 9.373 5.585 10
2.523 8.054 5.305 11
4.139 6.665 4.728 10
5.382 6.114 4.156 10
6.639 6.38 3.696 20
7.896 6.646 3.236 10
8.283 6.986 3.28 10
8.65 7.218 3.665 9
8.391 7.115 4.213 11
8.245 6.919 4.788 9
8.336 6.718 5.157 10
8.406 6.603 5.398 10
8.161 6.442 5.805 11
7.805 6.375 6.186 10
7.295 6.339 6.552 9
6.828 6.325 6.703 10
6.423 6.186 6.691 10
5.58 6.009 6.651 10
4.891 5.801 6.624 10
3.785 5.667 6.876 10
2.93 5.702 7.125 10
2.387 5.904 7.177 10
1.91 6.131 6.998 10
1.85 6.284 6.54 11
1.908 6.418 6.021 9
2.288 6.447 5.681 10
2.602 6.449 5.573 10
3.007 6.392 5.346 10
3.294 6.354 5.181 11
3.596 6.11 5.202 10
4.067 5.94 4.989 9
4.448 5.829 4.896 10
4.812 5.671 4.826 11
4.965 5.698 4.616 10
5.068 5.626 4.726 10
5.487 5.712 4.783 10
5.676 5.717 5.03 19
5.779 5.829 5.442 20
5.549 5.98 5.899 11
5.003 5.973 6.409 9
4.618 5.942 6.464 10
4.216 5.765 6.105 11
4.027 5.573 5.614 10
3.615 5.446 5.238 9
3.289 5.473 5.104 11
3.009 5.597 5.334 14
2.801 5.789 5.592 5
2.815 5.916 5.736 11
2.834 6.11 5.925 9
2.992 6.258 6.074 10
3.078 6.339 6.193 11
3.378 6.399 6.332 9
3.672 6.392 6.426 11
3.919 6.349 6.471 9
4.058 6.268 6.574 11
3.983 6.208 6.658 10
3.861 6.145 6.722 10
3.584 6.086 6.785 20
3.315 6.083 6.916 9
3.047 6.081 7.048 10
2.849 6.174 7.335 11
2.667 6.258 7.51 10
2.583 6.323 7.558 9
2.566 6.363 7.417 10
2.528 6.311 7.139 10
2.837 6.344 6.794 10
3.265 6.385 6.363 11
3.627 6.449 6.121 9
3.979 6.476 5.963 10
4.089 6.445 5.961 10
3.914 6.397 6.186 11
3.624 6.33 6.39 9
3.344 6.301 6.509 10
3.112 6.258 6.526 10
3.098 6.256 6.327 10
3.198 6.272 6.15 10
3.222 6.289 5.973 10
3.198 6.32 5.899 10
2.978 6.315 6.019 10
2.755 6.358 6.196 10
2.609 6.402 6.373 11
2.559 6.435 6.497 9
2.652 6.473 6.502 10
2.906 6.469 6.358 10
3.165 6.461 6.169 10
3.327 6.464 6.033 11
3.397 6.481 5.999 9
3.296 6.476 6.078 10
3.191 6.473 6.203 10
3.117 6.404 6.296 11
3.136 6.32 6.287 10
3.11 6.162 6.157 20
3.083 6.004 6.028 10
2.906 5.882 6.054 10
2.729 5.76 6.081 10
2.552 5.789 6.339 10
2.377 5.872 6.629 10
2.322 5.987 6.794 10
2.276 6.117 6.95 10
2.31 6.179 6.962 10
2.341 6.186 6.943 10
2.468 6.174 6.895 10
2.585 6.148 6.856 10
2.691 6.1 6.804 10
2.755 6.081 6.742 10
2.724 6.081 6.708 10
2.688 6.095 6.619 10
2.643 6.138 6.555 10
2.681 6.148 6.435 10
2.724 6.162 6.299 9
2.772 6.162 6.217 10
2.772 6.191 6.165 10
2.729 6.224 6.177 10
2.65 6.279 6.227 10
2.561 6.339 6.291 11
2.521 6.37 6.327 9
2.437 6.385 6.471 10
2.322 6.373 6.641 10
2.217 6.356 6.797 11
2.13 6.339 6.854 19
2.157 6.351 6.722 10
2.281 6.349 6.579 10
2.406 6.347 6.435 10
2.461 6.327 6.517 11
2.446 6.296 6.679 9
2.358 6.275 6.859 10
2.293 6.251 6.962 10
2.279 6.244 6.938 10
2.351 6.251 6.868 11
2.391 6.248 6.756 9
2.408 6.248 6.72 10
2.413 6.239 6.682 10
2.331 6.215 6.689 10
2.315 6.196 6.667 41
2.298 6.177 6.646 9
2.281 6.174 6.636 11
2.236 6.172 6.655 9
2.195 6.179 6.694 10
2.188 6.169 6.751 10
2.157 6.129 6.852 10
2.154 6.088 6.924 11
2.082 6.04 7.048 9
1.977 6.009 7.153 10
1.905 6.047 7.266 10
1.819 6.098 7.352 11
